step,gs0,gs1,gs2,
761,962,958,960,
762,962,958,960,
763,962,958,960,
764,963,958,960,
765,963,958,960,
766,962,958,960,
767,962,958,960,
768,962,958,960,
769,962,958,960,
770,962,958,960,
771,962,958,960,
772,962,958,960,
773,962,958,960,
774,963,959,960,
775,963,959,960,
776,962,959,960,
777,962,959,960,
778,962,959,961,
779,962,959,961,
780,963,959,960,
781,963,959,960,
782,963,959,960,
783,963,959,960,
784,962,959,960,
785,962,959,960,
786,962,959,960,
787,962,959,960,
788,962,959,960,
789,962,959,960,
790,962,959,960,
791,962,959,960,
792,962,959,960,
793,962,959,960,
794,963,958,960,
795,963,958,960,
796,963,959,960,
797,963,959,960,
798,962,959,961,
799,962,959,960,
800,962,959,960,
801,962,959,961,
802,962,959,961,
803,962,959,960,
804,962,959,960,
805,962,959,960,
806,962,959,960,
807,963,959,960,
808,963,959,960,
809,962,958,960,
810,962,958,960,
811,961,958,960,
812,961,958,960,
813,961,958,958,
814,961,958,958,
815,962,958,961,
816,962,958,961,
817,962,959,960,
818,962,959,960,
819,963,960,960,
820,963,960,960,
821,963,959,960,
822,963,959,960,
823,962,958,960,
824,962,958,960,
825,962,958,960,
826,962,958,960,
827,961,958,959,
828,961,958,959,
829,962,958,959,
830,962,958,959,
831,962,958,959,
832,962,958,959,
833,963,958,959,
834,963,958,959,
835,961,958,959,
836,961,958,959,
837,962,959,959,
838,962,959,959,
839,961,958,959,
840,962,958,959,
841,962,958,959,
842,963,958,959,
843,963,958,959,
844,963,958,959,
845,963,958,959,
846,962,958,959,
847,962,958,959,
848,963,959,961,
849,963,959,961,
850,963,959,961,
851,963,959,961,
852,962,959,961,
853,962,959,961,
854,963,958,961,
855,963,958,961,
856,962,960,961,
857,962,960,961,
858,963,960,961,
859,963,960,961,
860,964,960,962,
861,964,960,962,
862,964,960,960,
863,964,960,960,
864,964,960,962,
865,964,960,962,
866,963,960,962,
867,963,960,962,
868,962,961,960,
869,962,961,960,
870,962,959,960,
871,962,959,960,
872,961,960,961,
873,961,960,961,
874,963,961,961,
875,963,961,961,
876,963,961,962,
877,963,961,962,
878,962,961,962,
879,962,961,962,
880,963,961,962,
881,963,961,962,
882,963,961,962,
883,963,961,962,
884,962,961,962,
885,962,961,962,
886,963,961,962,
887,963,960,962,
888,963,960,962,
889,963,960,962,
890,963,960,962,
891,963,960,962,
892,963,960,962,
893,963,960,962,
894,963,960,962,
895,962,960,961,
896,962,960,961,
897,962,959,962,
898,962,959,962,
899,962,960,961,
900,962,960,961,
901,962,959,961,
902,962,959,961,
903,962,959,961,
904,962,959,961,
905,962,959,960,
906,962,959,960,
907,963,959,961,
908,963,959,961,
909,963,959,961,
910,963,959,961,
911,963,959,961,
912,963,959,961,
913,963,959,961,
914,963,959,961,
915,963,959,960,
916,963,959,960,
917,963,958,961,
918,963,958,961,
919,963,959,961,
920,963,959,961,
921,963,960,961,
922,963,960,961,
923,963,959,961,
924,963,959,961,
925,963,959,961,
926,963,959,961,
927,963,959,961,
928,963,960,961,
929,963,960,961,
930,963,960,961,
931,963,960,961,
932,963,960,961,
933,963,960,961,
934,963,959,961,
935,963,959,961,
936,963,960,961,
937,963,960,961,
938,963,960,961,
939,963,960,961,
940,963,960,961,
941,963,960,961,
942,963,959,961,
943,963,959,961,
944,963,959,961,
945,963,959,961,
946,963,960,961,
947,963,960,961,
948,963,960,961,
949,963,960,961,
950,963,960,961,
951,963,960,961,
952,963,960,961,
953,963,960,961,
954,963,960,962,
955,963,960,962,
956,963,960,961,
957,963,960,961,
958,964,961,962,
959,964,961,962,
960,964,961,962,
961,964,961,962,
962,964,960,961,
963,964,960,961,
964,964,961,961,
965,964,961,961,
966,964,960,962,
967,964,960,962,
968,964,960,962,
969,964,961,962,
970,964,961,962,
971,964,960,962,
972,964,960,962,
973,964,960,962,
974,964,960,962,
975,964,960,962,
976,962,960,961,
977,963,960,961,
978,963,960,961,
979,964,961,962,
980,964,961,962,
981,963,961,962,
982,963,961,962,
983,964,959,961,
984,964,959,961,
985,964,960,961,
986,964,960,961,
987,964,959,962,
988,964,959,962,
989,963,960,962,
990,963,960,962,
991,963,960,961,
992,963,960,961,
993,963,959,961,
994,963,959,961,
995,963,959,961,
996,963,959,961,
997,963,959,961,
998,963,959,961,
999,963,959,961,
1000,963,959,961,
1001,961,959,961,
1002,961,959,961,
1003,963,959,961,
1004,963,959,961,
1005,962,959,961,
1006,962,959,961,
1007,962,958,960,
1008,962,958,960,
1009,962,958,960,
1010,962,958,960,
1011,960,958,961,
1012,960,958,961,
1013,958,958,960,
1014,958,958,960,
1015,957,958,961,
1016,957,958,961,
1017,957,958,961,
1018,957,958,961,
1019,957,958,961,
1020,957,958,960,
1021,957,958,960,
1022,957,958,961,
1023,957,958,961,
1024,957,958,960,
1025,957,958,960,
1026,957,959,960,
1027,957,959,960,
1028,957,956,960,
1029,957,956,960,
1030,957,954,960,
1031,957,954,960,
1032,957,953,960,
1033,957,953,960,
1034,957,952,960,
1035,957,952,960,
1036,957,953,960,
1037,957,953,960,
1038,957,952,960,
1039,957,952,960,
1040,956,953,960,
1041,956,953,960,
1042,956,953,960,
1043,956,953,960,
1044,956,953,960,
1045,956,953,960,
1046,960,952,958,
1047,960,952,958,
1048,962,953,956,
1049,962,953,956,
1050,962,953,955,
1051,962,953,955,
1052,961,953,954,
1053,961,953,954,
1054,961,952,954,
1055,961,952,954,
1056,961,953,954,
1057,961,953,954,
1058,961,953,954,
1059,961,953,954,
1060,961,952,955,
1061,961,952,955,
1062,961,952,955,
1063,961,952,955,
1064,961,955,955,
1065,961,955,955,
1066,961,957,954,
1067,961,957,954,
1068,961,958,955,
1069,961,958,955,
1070,962,958,955,
1071,962,958,955,
1072,961,958,955,
1073,962,958,956,
1074,962,958,956,
1075,962,958,955,
1076,962,958,955,
1077,962,958,954,
1078,962,958,954,
1079,962,958,954,
1080,962,958,954,
1081,963,959,956,
1082,963,959,956,
1083,962,959,958,
1084,962,959,958,
1085,963,960,960,
1086,963,960,960,
1087,962,958,960,
1088,962,958,960,
1089,963,960,960,
1090,963,960,960,
1091,962,959,960,
1092,962,959,960,
1093,963,959,960,
1094,963,959,960,
1095,963,958,960,
1096,963,958,960,
1097,962,959,960,
1098,962,959,960,
1099,963,959,960,
1100,963,959,960,
1101,963,959,960,
1102,963,959,960,
1103,963,959,960,
1104,963,959,960,
1105,963,959,960,
1106,963,959,960,
1107,962,958,961,
1108,962,958,961,
1109,963,959,960,
1110,963,959,960,
1111,963,959,960,
1112,963,959,960,
1113,963,959,960,
1114,963,959,960,
1115,963,959,960,
1116,963,959,960,
1117,963,959,960,
1118,963,959,960,
1119,962,959,960,
1120,962,959,960,
1121,962,959,960,
1122,962,959,960,
1123,963,959,960,
1124,962,959,960,
1125,962,959,960,
1126,963,959,960,
1127,963,959,960,
1128,963,960,961,
1129,963,960,961,
1130,962,959,960,
1131,962,959,960,
1132,963,958,960,
1133,963,958,960,
1134,963,959,960,
1135,963,959,960,
1136,963,959,961,
1137,963,959,961,
1138,963,959,961,
1139,963,959,961,
1140,962,959,960,
1141,962,959,960,
1142,963,959,960,
1143,963,959,960,
1144,962,959,960,
1145,962,959,960,
1146,962,959,960,
1147,962,959,960,
1148,963,958,960,
1149,963,958,960,
1150,962,959,960,
1151,962,959,960,
1152,960,956,957,
1153,960,956,957,
1154,953,948,948,
1155,953,948,948,
1156,945,939,943,
1157,945,939,943,
1158,946,940,944,
1159,946,940,944,
1160,953,950,951,
1161,953,950,951,
1162,961,956,957,
1163,961,956,957,
1164,962,958,960,
1165,963,959,960,
1166,963,959,960,
1167,961,958,959,
1168,961,958,959,
1169,962,958,960,
1170,962,958,960,
1171,962,959,960,
1172,962,959,960,
1173,962,958,960,
1174,962,958,960,
1175,962,958,960,
1176,962,958,960,
1177,962,958,960,
1178,962,958,960,
1179,962,959,960,
1180,962,959,960,
1181,962,959,960,
1182,962,959,960,
1183,963,959,960,
1184,963,959,960,
1185,962,958,961,
1186,962,958,961,
1187,963,958,960,
1188,963,958,960,
1189,962,958,960,
1190,962,958,960,
1191,963,958,961,
1192,963,958,961,
1193,961,958,960,
1194,961,958,960,
1195,961,958,961,
1196,961,958,961,
1197,961,958,960,
1198,961,958,960,
1199,961,958,960,
1200,961,958,960,
1201,961,958,959,
1202,961,958,960,
1203,961,958,960,
1204,961,959,960,
1205,961,959,960,
1206,961,958,960,
1207,961,958,960,
1208,961,958,960,
1209,961,958,960,
1210,961,958,960,
1211,961,958,960,
1212,961,957,960,
1213,961,957,960,
1214,961,958,960,
1215,961,958,960,
1216,961,958,960,
1217,961,958,960,
1218,961,958,959,
1219,961,958,959,
1220,961,958,960,
1221,961,958,960,
1222,961,958,960,
1223,961,958,960,
1224,961,958,959,
1225,961,958,959,
1226,958,956,958,
1227,958,956,958,
1228,956,956,957,
1229,956,956,957,
1230,957,955,957,
1231,957,955,957,
1232,961,958,960,
1233,961,958,960,
1234,961,958,959,
1235,961,958,959,
1236,960,957,960,
1237,960,957,960,
1238,961,958,959,
1239,961,958,959,
1240,960,958,960,
1241,960,958,960,
1242,961,957,960,
1243,961,957,960,
1244,961,957,960,
1245,961,957,960,
1246,961,957,959,
1247,961,957,959,
1248,961,958,959,
1249,961,958,960,
1250,961,958,960,
1251,960,958,960,
1252,960,958,960,
1253,961,958,960,
1254,961,958,960,
1255,961,958,960,
1256,961,958,960,
1257,961,958,960,
1258,961,958,960,
1259,961,959,959,
1260,961,959,959,
1261,961,959,958,
1262,961,959,958,
1263,961,958,959,
1264,961,958,959,
1265,961,958,960,
1266,961,958,960,
1267,962,958,961,
1268,962,958,961,
1269,961,958,960,
1270,961,958,960,
1271,962,959,960,
1272,962,959,960,
1273,962,958,960,
1274,962,958,960,
1275,961,958,960,
1276,961,958,960,
1277,961,958,961,
1278,961,958,961,
1279,962,958,960,
1280,962,958,960,
1281,961,958,960,
1282,961,958,960,
1283,963,960,961,
1284,963,960,961,
1285,962,959,960,
1286,962,959,960,
1287,962,959,960,
1288,962,959,960,
1289,962,958,960,
1290,962,958,960,
1291,963,960,961,
1292,963,960,961,
1293,963,959,961,
1294,963,959,961,
1295,963,958,961,
1296,963,958,961,
1297,963,959,961,
1298,963,959,961,
1299,963,960,961,
1300,963,960,961,
1301,963,960,961,
1302,962,959,961,
1303,962,959,961,
1304,963,960,960,
1305,963,960,960,
1306,962,960,960,
1307,962,960,960,
1308,962,959,960,
1309,962,959,960,
1310,963,959,961,
1311,963,959,961,
1312,963,958,960,
1313,963,958,960,
1314,963,959,961,
1315,963,959,961,
1316,963,960,960,
1317,963,960,960,
1318,963,959,960,
1319,963,959,960,
1320,963,959,961,
1321,963,959,961,
1322,962,958,961,
1323,962,958,961,
1324,963,960,961,
1325,963,960,961,
1326,962,960,961,
1327,962,960,961,
1328,963,959,961,
1329,963,959,961,
1330,963,958,961,
1331,963,958,961,
1332,963,959,961,
1333,963,959,961,
1334,963,959,960,
1335,963,959,960,
1336,963,959,961,
1337,963,959,961,
1338,963,958,961,
1339,963,958,961,
1340,963,960,961,
1341,963,960,961,
1342,963,960,961,
1343,963,960,961,
1344,962,958,961,
1345,962,958,961,
1346,962,959,961,
1347,962,959,961,
1348,963,960,960,
1349,963,960,961,
1350,963,960,961,
1351,962,959,961,
1352,962,959,961,
1353,963,959,961,
1354,963,959,961,
1355,963,959,961,
1356,963,959,961,
1357,961,959,960,
1358,961,959,960,
1359,962,958,960,
1360,962,958,960,
1361,962,959,961,
1362,962,959,961,
1363,962,959,961,
1364,962,959,961,
1365,963,959,961,
1366,963,959,961,
1367,963,959,960,
1368,963,959,960,
1369,962,958,961,
1370,962,958,961,
1371,962,958,960,
1372,962,958,960,
1373,962,959,959,
1374,962,959,959,
1375,962,959,959,
1376,962,959,959,
1377,962,958,959,
1378,962,958,959,
1379,962,958,959,
1380,962,958,959,
1381,962,958,959,
1382,962,958,959,
1383,962,958,959,
1384,962,958,959,
1385,962,957,959,
1386,962,957,959,
1387,962,959,959,
1388,962,959,959,
1389,962,958,959,
1390,962,958,959,
1391,962,959,959,
1392,962,959,959,
1393,962,959,959,
1394,962,959,959,
1395,962,959,959,
1396,962,959,959,
1397,962,959,959,
1398,962,959,959,
1399,962,959,959,
1400,961,957,957,
1401,961,957,957,
1402,959,956,957,
1403,959,956,957,
1404,960,956,957,
1405,960,956,957,
1406,962,959,960,
1407,962,959,960,
1408,962,959,959,
1409,962,959,959,
1410,962,959,960,
1411,962,959,960,
1412,963,959,959,
1413,963,959,959,
1414,963,959,959,
1415,963,959,959,
1416,962,959,959,
1417,962,959,959,
1418,963,959,959,
1419,963,959,959,
1420,963,959,960,
1421,963,959,960,
1422,962,959,959,
1423,962,959,959,
1424,962,959,959,
1425,962,959,959,
1426,961,959,959,
1427,961,959,959,
1428,961,959,959,
