step,gs0,gs1,gs2,
639,964,960,961,
640,964,960,961,
641,964,960,962,
642,963,960,962,
643,963,960,962,
644,964,960,962,
645,964,960,962,
646,964,960,962,
647,964,960,962,
648,964,960,962,
649,964,960,962,
650,963,960,962,
651,963,960,962,
652,964,960,962,
653,964,960,962,
654,963,960,962,
655,963,960,962,
656,962,960,962,
657,962,960,962,
658,963,960,961,
659,963,960,961,
660,962,959,960,
661,962,959,960,
662,963,960,961,
663,963,960,961,
664,963,960,962,
665,963,960,962,
666,963,961,961,
667,963,961,961,
668,964,960,962,
669,964,960,962,
670,964,960,962,
671,964,960,962,
672,963,960,962,
673,963,960,962,
674,964,961,962,
675,964,961,962,
676,964,961,962,
677,964,961,962,
678,963,961,962,
679,963,961,962,
680,964,960,962,
681,964,960,962,
682,963,961,962,
683,963,961,962,
684,963,961,962,
685,963,961,962,
686,963,961,962,
687,964,961,962,
688,964,961,962,
689,963,961,961,
690,963,961,961,
691,964,961,962,
692,964,961,962,
693,963,961,962,
694,963,961,962,
695,964,961,962,
696,964,961,962,
697,964,961,962,
698,964,961,962,
699,963,961,962,
700,963,961,962,
701,961,959,960,
702,961,959,960,
703,958,955,954,
704,958,955,954,
705,952,948,950,
706,952,948,950,
707,953,948,950,
708,953,948,950,
709,957,954,956,
710,957,954,956,
711,963,961,962,
712,963,961,962,
713,964,960,962,
714,964,960,962,
715,962,959,960,
716,962,959,960,
717,964,961,962,
718,964,961,962,
719,964,960,962,
720,964,960,962,
721,964,960,962,
722,964,960,962,
723,963,961,962,
724,963,961,962,
725,964,961,962,
726,963,960,962,
727,963,960,962,
728,963,961,962,
729,963,961,962,
730,964,961,962,
731,964,961,962,
732,964,961,962,
733,964,961,962,
734,963,961,962,
735,963,961,962,
736,963,961,962,
737,963,961,962,
738,964,960,962,
739,964,960,962,
740,964,961,962,
741,964,961,962,
742,964,961,962,
743,964,961,962,
744,965,961,962,
745,965,961,962,
746,964,960,962,
747,964,960,962,
748,964,961,962,
749,964,961,962,
750,964,961,962,
751,964,961,962,
752,964,961,962,
753,964,961,962,
754,964,962,962,
755,964,962,962,
756,964,962,963,
757,964,962,963,
758,964,962,962,
759,964,962,962,
760,964,961,962,
761,964,961,962,
762,964,961,963,
763,964,961,963,
764,965,961,963,
765,965,961,963,
766,964,961,963,
767,964,961,963,
768,962,959,960,
769,962,959,960,
770,958,954,957,
771,958,954,956,
772,958,954,956,
773,958,954,956,
774,958,954,956,
775,958,954,956,
776,958,954,956,
777,958,954,956,
778,958,954,956,
779,958,954,957,
780,958,954,957,
781,958,954,956,
782,958,954,956,
783,958,954,957,
784,958,954,957,
785,958,954,956,
786,958,954,956,
787,958,954,956,
788,958,954,956,
789,958,954,956,
790,958,954,956,
791,958,954,956,
792,958,954,956,
